kanji,heisigId,heisigKeyword,heisigCollisions,jpdbKeyword,jpdbCollisions
環,899,ring,輪,loop,
還,900,send back,,finally return,
夫,901,husband,,husband,
扶,902,aid,,aid,
渓,903,mountain stream,沢,valley with a river,
規,904,standard,準,criteria,
替,905,exchange,換,replace,
賛,906,approve,,approve,
潜,907,submerge,,lurk,
失,908,lose,,permanent loss,
鉄,909,iron,,iron,
迭,910,alternate,,alternate,
臣,911,retainer,,government minister,
姫,912,princess,,princess,
蔵,913,storehouse,,stash,
臓,914,entrails,,entrails,
賢,915,intelligent,,clever,敏
腎,916,kidney,,kidney,
堅,917,strict,厳,firm,
臨,918,look to,,face something,
覧,919,perusal,,view,
巨,920,gigantic,,gigantic,
拒,921,repel,却,refuse,
力,922,power,,power,
男,923,man,,man,
労,924,labor,,labor,
募,925,recruit,,recruit,
劣,926,inferiority,,inferior,
功,927,achievement,績,success,累
勧,928,persuade,,recommend (a course of action),
努,929,toil,,make an effort,
勃,930,uprising,,erection,架
励,931,encourage,,encourage (someone to become more lively),
加,932,add,,add,
賀,933,congratulations,慶,congratulations,慶
架,934,erect,勃,framework,
脇,935,armpit,,armpit,
脅,936,threaten,,threaten,
